Sn,Country,Total Case,New Case,Total Death,New Death,Total Recovered,New Recovered
1,USA,"34,963,907",,"624,746 ",,"29,376,590",
2,India,"31,144,229",+634,"414,141 ",,"30,308,456","+7,694"
3,Brazil,"19,376,574",,"542,262 ",,"18,023,512",
4,Russia,"5,958,133",,"148,419 ",,"5,341,231",
5,France,"5,867,730",,"111,472 ",,"5,659,058",
6,Turkey,"5,529,719",,"50,554 ",,"5,386,587",
7,UK,"5,433,939",,"128,708 ",,"4,396,950",
8,Argentina,"4,756,378",,"101,549 ",,"4,394,695",
9,Colombia,"4,639,466",,"116,307 ",,"4,389,277",
10,Italy,"4,287,458",,"127,867 ",,"4,113,478",
11,Spain,"4,100,222",,"81,096 ",,"3,660,683",
12,Germany,"3,752,219",,"91,896 ",,"3,640,100",+800
13,Iran,"3,523,263",,"87,161 ",,"3,135,060",
14,Poland,"2,881,424",,"75,215 ",,"2,652,984",
15,Indonesia,"2,877,476",,"73,582 ",,"2,261,658",
16,Mexico,"2,659,137","+4,438","236,331 ",+91,"2,086,657","+6,174"
17,South Africa,"2,295,095",,"66,859 ",,"2,050,164",
18,Ukraine,"2,244,495",,"52,726 ",,"2,181,198",
19,Peru,"2,093,754",,"195,146 ",,N/A,N/A
20,Netherlands,"1,798,570",,"17,776 ",,"1,659,820",
21,Czechia,"1,671,027",,"30,338 ",,"1,637,729",
22,Chile,"1,599,879",,"34,514 ",,"1,551,119",
23,Philippines,"1,507,755",,"26,714 ",,"1,433,851",
24,Iraq,"1,491,712",,"17,830 ",,"1,356,267",
25,Canada,"1,423,177",,"26,499 ",,"1,392,062",
26,Bangladesh,"1,103,989",,"17,894 ",,"932,008",
27,Belgium,"1,103,413",,"25,209 ",,"1,051,372",
28,Sweden,"1,094,287",,"14,609 ",,"1,072,804",+600
29,Romania,"1,081,632",,"34,253 ",,"1,046,739",
30,Pakistan,"991,727","+2,452","22,811 ",+30,"920,066",+903
31,Portugal,"930,685",,"17,207 ",,"861,707",
32,Malaysia,"916,561",,"7,019 ",,"784,949",
33,Israel,"851,723",,"6,449 ",,"838,564",
34,Japan,"838,432",,"15,040 ",,"797,208",
35,Hungary,"808,725",,"30,015 ",,"742,632",
36,Jordan,"761,225",,"9,896 ",,"743,296",
37,Serbia,"718,590",,"7,083 ",,"709,378",
38,Switzerland,"707,976",,"10,902 ",,"690,364",
39,Nepal,"667,109",,"9,550 ",,"632,074",
40,UAE,"660,978",,"1,898 ",,"638,771",
41,Austria,"653,735",,"10,729 ",,"639,573",
42,Morocco,"557,632",,"9,450 ",,"531,649",
43,Lebanon,"550,942",,"7,885 ",,"535,216",
44,Tunisia,"546,233",,"17,527 ",,"432,241",
45,Saudi Arabia,"509,576",,"8,075 ",,"490,696",
46,Kazakhstan,"494,222","+5,317","4,997 ",+41,"431,956","+1,896"
47,Ecuador,"476,065",,"21,953 ",,"443,880",
48,Bolivia,"462,154",+440,"17,458 ",+15,"390,745","+1,575"
49,Greece,"457,312",,"12,826 ",,"414,538",
50,Paraguay,"444,992",,"14,288 ",,"403,622",
51,Belarus,"434,362",,"3,326 ",,"428,202",
52,Bulgaria,"422,965",,"18,174 ",,"397,174",
53,Panama,"422,678",,"6,703 ",,"402,551",
54,Thailand,"415,170","+11,784","3,422 ",+81,"289,651","+5,741"
55,Slovakia,"392,100",,"12,524 ",,"379,193",
56,Costa Rica,"389,798",,"4,874 ",,"313,223",
57,Georgia,"387,481",,"5,551 ",,"365,019",
58,Kuwait,"385,762",,"2,221 ",,"366,935",
59,Uruguay,"378,875",,"5,883 ",,"368,458",
60,Croatia,"361,595",,"8,238 ",,"352,613",
61,Azerbaijan,"338,438",,"4,992 ",,"331,294",
62,Dominican Republic,"337,575",,"3,916 ",,"279,714",
63,Guatemala,"333,827",,"9,914 ",,"291,784",
64,Palestine,"315,641",,"3,587 ",,"310,525",
65,Denmark,"306,100",,"2,542 ",,"292,825",
66,Venezuela,"292,779",,"3,377 ",,"275,712",
67,Oman,"289,042",,"3,498 ",,"263,752",
68,Sri Lanka,"284,932",,"3,779 ",,"256,676",
69,Ireland,"284,510",,"5,018 ",,"263,349",
70,Egypt,"283,636",,"16,439 ",,"223,213",
71,Cuba,"281,887",,"1,905 ",,"241,314",
72,Lithuania,"279,745",,"4,404 ",,"268,315",
73,Honduras,"277,974",,"7,391 ",,"95,311",
74,Ethiopia,"277,696",,"4,357 ",,"262,314",
75,Bahrain,"267,882",,"1,380 ",,"265,638",
76,Slovenia,"258,190",,"4,425 ",,"253,003",
77,Moldova,"257,946",,"6,226 ",,"250,913",
78,Myanmar,"229,521",,"5,000 ",,"161,859",
79,Armenia,"227,430",,"4,566 ",,"218,331",
80,Qatar,"224,278",,599 ,,"222,105",
81,Libya,"221,495",,"3,281 ",,"183,436",
82,Bosnia and Herzegovina,"205,285",,"9,666 ",,"187,213",
83,Kenya,"192,758",,"3,775 ",,"182,326",
84,Zambia,"185,649",,"3,084 ",,"171,699",
85,S. Korea,"179,203","+1,252","2,058 ",+1,"159,630",+677
86,Nigeria,"169,532",,"2,127 ",,"164,699",
87,North Macedonia,"155,922",,"5,487 ",,"150,170",
88,Algeria,"153,309",,"3,938 ",,"105,604",
89,Kyrgyzstan,"149,029",,"2,175 ",,"125,161",
90,Mongolia,"148,424","+1,171",740 ,+6,"134,101","+3,489"
91,Afghanistan,"141,499",,"6,213 ",,"88,600",
92,Latvia,"138,159",,"2,543 ",,"135,103",
93,Norway,"134,339",,796 ,,"88,952",
94,Albania,"132,686",,"2,456 ",,"130,074",
95,Estonia,"131,848",,"1,271 ",,"128,110",
96,Uzbekistan,"119,388",,796 ,,"114,303",
97,Namibia,"112,160",,"2,506 ",,"87,313",
98,Montenegro,"100,662",,"1,623 ",,"98,676",
99,Finland,"100,156",,978 ,,"46,000",
100,Mozambique,"99,412",,"1,118 ",,"76,716",
101,Ghana,"98,817",,812 ,,"95,147",
102,Cyprus,"91,196",,385 ,,"73,452",
103,Uganda,"90,391",,"2,353 ",,"67,114",
104,Botswana,"86,133",,"1,274 ",,"73,380",
