Sn,Country,Total Case,New Case,Total Death,New Death,Total Recovered,New Recovered
1,USA,"35,213,594",,"626,172 ",,"29,478,173",
2,India,"31,293,062","+1,358","419,502 ",,"30,468,079","+7,775"
3,Brazil,"19,524,092",,"547,134 ",,"18,259,711",
4,Russia,"6,054,711",,"151,501 ",,"5,427,457",
5,France,"5,933,510",,"111,565 ",,"5,669,083",
6,UK,"5,602,321",,"128,980 ",,"4,427,533",
7,Turkey,"5,563,903",,"50,761 ",,"5,405,339",
8,Argentina,"4,812,351",,"103,074 ",,"4,447,953",
9,Colombia,"4,692,570",,"117,836 ",,"4,449,027",
10,Italy,"4,302,393",,"127,920 ",,"4,119,607",
11,Spain,"4,249,258",,"81,194 ",,"3,681,125",
12,Germany,"3,758,406",,"91,990 ",,"3,643,300",+700
13,Iran,"3,623,840",,"88,063 ",,"3,204,136",
14,Indonesia,"3,033,339",,"79,032 ",,"2,392,923",
15,Poland,"2,881,840",,"75,231 ",,"2,653,088",
16,Mexico,"2,709,739","+16,244","237,626 ",+419,"2,112,815",
17,South Africa,"2,342,330",,"68,625 ",,"2,109,820",
18,Ukraine,"2,247,419",+763,"52,811 ",+21,"2,183,642",+639
19,Peru,"2,099,522",,"195,547 ",,N/A,N/A
20,Netherlands,"1,827,273",,"17,789 ",,"1,662,439",
21,Czechia,"1,671,933",,"30,347 ",,"1,638,500",
22,Chile,"1,604,713",,"34,792 ",,"1,558,669",
23,Philippines,"1,530,266",,"26,891 ",,"1,452,813",
24,Iraq,"1,526,943",,"18,101 ",,"1,386,331",
25,Canada,"1,425,097",,"26,526 ",,"1,394,060",
26,Bangladesh,"1,140,200",,"18,685 ",,"969,610",
27,Belgium,"1,112,161","+1,751","25,217 ",+2,"1,054,202",
28,Sweden,"1,096,341",,"14,615 ",,"1,073,980",
29,Romania,"1,081,953",,"34,264 ",,"1,047,000",
30,Pakistan,"1,000,034","+1,425","22,939 ",+11,"923,472",+543
31,Malaysia,"964,918",,"7,574 ",,"815,293",
32,Portugal,"943,244",,"17,248 ",,"873,008",
33,Israel,"856,986",,"6,457 ",,"840,712",
34,Japan,"852,517",,"15,097 ",,"806,202",
35,Hungary,"809,101",+85,"30,020 ",,"745,277",+563
36,Jordan,"763,106",,"9,929 ",,"745,551",
37,Serbia,"719,462",,"7,095 ",,"709,704",
38,Switzerland,"711,877",,"10,903 ",,"691,224",
39,Nepal,"674,726",,"9,661 ",,"637,690",
40,UAE,"667,080",,"1,910 ",,"644,753",
41,Austria,"655,197",,"10,730 ",,"640,202",
42,Morocco,"567,758",,"9,517 ",,"538,370",
43,Tunisia,"558,306",,"18,052 ",,"453,865",
44,Lebanon,"552,871",,"7,889 ",,"535,663",
45,Kazakhstan,"516,117","+6,119","5,244 ",+64,"441,437","+2,427"
46,Saudi Arabia,"514,446",,"8,130 ",,"495,650",
47,Ecuador,"479,784",,"30,777 ",,"443,880",
48,Greece,"469,042",,"12,851 ",,"422,175",
49,Thailand,"467,707","+14,575","3,811 ",+114,"320,152","+7,775"
50,Bolivia,"466,318",+967,"17,576 ",+30,"396,914","+1,561"
51,Paraguay,"447,864",,"14,501 ",,"408,973",
52,Belarus,"437,664",,"3,365 ",,"431,489",
53,Panama,"426,849",,"6,730 ",,"407,055",
54,Bulgaria,"423,440",,"18,189 ",,"397,900",
55,Georgia,"398,081","+2,460","5,656 ",+20,"370,565","+1,082"
56,Costa Rica,"397,469",,"4,933 ",,"321,048",
57,Slovakia,"392,219",,"12,534 ",,"379,279",
58,Kuwait,"389,868",,"2,264 ",,"372,358",
59,Uruguay,"379,911",,"5,913 ",,"370,711",
60,Croatia,"362,129",,"8,245 ",,"352,966",
61,Guatemala,"344,221",,"10,029 ",,"299,752",
