Sn,Project,Capacity(MW),River,LicNo,IssueData,Validity,Promoter,Address,Latitude N,Longitude E,VDC/District,COD
,1,Khimti -I,60.000,Khimti Khola,1,2051-11-01,2101-10-29,Himal Power Limited, ,"27o 28' 28""","27o 33' 07""","86o 06' 04""","86o 15' 00"""," Sahure, Hawa (Dolakha) Betali (Ramechhap)",2057-03-27,COD 2000-07-11,
,2,Sun Koshi,10.050,Sun Koshi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 45' 00""","27o 46' 00""","85o 50' 10""","85o 52' 30""",    (Sindhupalchok),2029-01-01, COD 1972,
,3,Tinau,1.024,Tinau,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 43' 00""","27o 44' 20""","83o 27' 30""","83o 28' 00""",    (Palpa),2038-01-01, COD,
,4,Seti,1.500,Seti Khola,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"28o 13' 50""","28o 15' 06""","83o 57' 54""","83o 59' 34""",    (Kaski),2042-07-16, COD 1985-11-01,
,5,Marsyangdi,69.000,Marsyangdi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 52' 25""","27o 56' 53""","84o 25' 40""","84o 32' 42""",    (Tanahu),2046-07-20, COD 1989-11-05,
,6,Kulekhani-I,60.000,Kulekhani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 32' 06""","27o 37' 48""","85o 08' 21""","85o 10' 50""",    (Makawanpur),2039-01-21, Storage Project COD 1982-05-14,
,7,Trishuli,24.000,Trishuli,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 55' 09""","27o 58' 25""","85o 08' 45""","85o 11' 11""",    (Nuwakot),2024-01-01, COD 1967 (upgraded 24 MW in 1995),
,8,Gandak,15.000,Narayani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 25' 21""","27o 28' 16""","83o 47' 08""","83o 56' 25""",    (Nawalparasi),2035-12-19, COD 1979-04-01,
,9,Panauti,2.400,Roshi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"27o 33' 00""","27o 35' 21""","85o 30' 20""","85o 32' 35""",    (Kabhrepalanchok),2022-01-01, COD 1965,
,10,Tatopani,2.000,Tatopani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority, ,"28o 31' 31""","28o 32' 00""","83o 39' 30""","83o 40' 07""",    (Myagdi),2045-01-01, COD ,
